昵称,性别,地区,评论
黄金矿工GoldenMiner,保密,四川,@取个五字名 我去，我才发现
尘依寺,保密,河南,不是我有一点看不懂啊  那个婆婆跟女主到底是不是女子关系？  还有真实情况是不是女主孩子死了 然后他手里抱那个包就是他孩子
ourois,女,安徽,给我看得心里好憋屈。。
究極時空戰士,保密,四川,高能
终极蓝奈,保密,福建,15:15 建议各位打开字幕，有惊喜[doge]
彼岸轻舟泛涟漪,保密,青海,姑婆婆就是电影里那个陈家村老婆婆，一模一样的发型，衣服
JeYuu_,女,甘肃,弹幕也是逆天了，这么忌讳干嘛来看恐怖游戏实况
打个奥利奥,保密,辽宁,全部反弹
李暝乐,保密,广东,其实我感觉女主有点诡异，这里一堆人都怕她，她还开别人门结果吓双方一跳[妙啊]
余生不见你幸福,男,山东,哈哈哈哈哈哈哈哈哈哈，我去，这个电影我看过，太恐怖了
Sylvia楦桐,女,上海,反弹反弹反弹一切全家健康
怪兽启示录,保密,陕西,大黑佛母虽然实力不强，但感觉压迫感真的很大，电影和游戏都是她赢了
怪兽启示录,保密,陕西,大家都在喷大黑佛母，但是，每次都是大黑佛母赢[大哭]
怪兽启示录,保密,陕西,个人推测：这个游戏讲的是电影版中女主一行在踢开地道后的事(就是破鬼特工队)，我认为陈家村不止一个仙童，电影中的仙童年龄比游戏中的大，外加电影中是要献祭那个大仙童，但是因为女主一行把地道入口踢开了，所以导致仪式失败，为了让佛母开心，威哥就把游戏女主找来，但是李佳君是那个神婆的女儿，所以神婆就又找了个仙童来替代李佳君，最后因为李佳君的幻觉导致神婆死亡，这也就是为什么陈家村会陷入混乱，就是因为电影女主李若男一行踢开了地道入口，把佛母的一部分放了出来，地道内的镜子和贡品还有泥菩萨都是为了困住大黑佛母，每个泥菩萨指的都是死路，死路尽头的贡品桌上贡品都没摆整齐，佛母因为这些无法脱困，外加镜子的反光和地道跟迷宫一样，成功的让佛母失去方向感，但地道入口被破坏，所以佛母的一部分就逃了出来，一边控制李若男，一边控制李佳君，控制李佳君是要把村子屠光，这样就能防止有人再次控制自己，但是因为地道内的封印还没有完全解开，所以就需要李若男，这个就要看电影了，李若男的作用是彻底放出佛母(个人想法，有些内容要去看电影，超推荐这部电影)
宁宁福,保密,山西,越来越喜欢弹幕了 ，家人们我好有安全感啊
魔王邪眼l,保密,湖北,为啥我没有这个人出来吓我
哥布林谢谢兄弟的,男,广东,有点无聊🥱
死远点喽,女,河南,2025年了…女主的配音CV到底是谁呀[大哭]
只会写特效的AKX,男,湖北,@不圆的球1145咒
面包裹小猫,保密,广西,我怎么看不懂游戏和电影的关系？只是公用一个背景吧？主角有关系吗？虽然都姓李？
丑橘草莓,女,山西,弹幕这顿刷反弹
Vivec,保密,湖北,难绷反弹，如果诅咒有用，那我们也不用研发科技武器了，直接让农村一帮老太太天天站村口骂特朗普就完事了。
LemonEcho-,保密,福建,感觉还是电影比较好看吧
薄禾与桃萄,女,黑龙江,"失踪的芽芽，蛮惨的女主。
感谢高能君~"
onlyU-story,保密,黑龙江,反弹！
onlyU-story,保密,黑龙江,反弹
onlyU-story,保密,黑龙江,反弹一切永久有效
onlyU-story,保密,黑龙江,反弹永久有效
onlyU-story,保密,黑龙江,反弹反弹反弹反弹反弹全部反弹一切厄运
折纸今天吃什么-,女,江西,反弹的扫码了
清荷要开心,女,贵州,好耶！！！每次看到有特别感兴趣的游戏，C菌都会发(*°▽°*)八(*°▽°*)♪
小小小小硕仔,男,北京,到底在反弹什么，是谁在在诅咒你们
Adonis小宇,男,黑龙江,这比弹幕，我还以为我网卡了
桃园晶晶子,女,江苏,都在反弹什么啊
越不让,保密,上海,能不能别反弹了我请问了？
在屿观月,女,重庆,c菌声音和女主配音好像啊，前面一直以为是c菌在配音，后面c菌声音出来才意识到[惊讶]
大家一定开心哦,男,四川,阿东阿原不就是电影里面那两个进地道的人吗
铜仁渣渣辉,保密,贵州,这游戏咋像一款日本老游戏 零红蝶啊[doge]
佩佩露薇利,保密,广西,主播的声音听着又像男的又像女的，好奇怪但还挺好听的
胜利路基埃尔77,男,江苏,c菌是男是女？
许愿柳云龙能演章北海,保密,广东,？！我发现了什么！？
涩ooo,保密,辽宁,up主是男是女
敏炎,保密,海南,我发现女主的遭遇和佛母生前很像
星空长夜i,男,山东,剧情挺迷语的，看似什么都讲了，其实还是留下一大堆坑，没意思。
一杯老美式,保密,贵州,反弹永久有效
李道谋,男,甘肃,我就是无压力之人
璃夏さん,保密,辽宁,@挂虎牙晒太阳
黒い白,保密,贵州,"我只能说。。。烂
1.女主女儿丢6年了，一直摆在祠堂上。村民一直不换祭品是吧？[笑哭][笑哭][笑哭]

2.一直到最后，都不知道红衣小女孩和女主的关系。

3.村民身上的红疹也没说什么疾病。"
篱_沐念_,保密,山东,才意识到今天正好2月8号，我还正好凌晨开始看
晚安GoodNi9ht,男,山东,评论区这帮唐人在反弹什么啊到底 做啥亏心事了[无语][无语]
初见us,保密,陕西,发现很多鬼故事或者恐怖剧情都是将女性妖魔化，这里的母爱、佛母，不是因为那个求平安符让人生理不适，而是作为单身母亲身边的那个消失的父亲从未出现心理不适，就好像所有的故事只有女主和婆婆雅雅
lonesome嘿,男,江苏,为什么声音和画面老是对不上[笑哭]
羭约啊,男,陕西,突脸会吓一跳但是看女主神力一推，每个人以相同姿势躺下实在有点好笑[笑哭]
俊仔666,男,广东,卧槽？！这游戏出电影了？不对，这电影出游戏了？！！
包阿树,保密,四川,那个，我想问一下咒织梦存档
Ringo女王の狗,保密,中国香港,不懂为什么反弹就找电影看一下就懂了[笑哭][笑哭]
拝涙_-,男,云南,和寂静岭2有点像，一个回村找女儿，一个回镇找老婆，两个都被困在自己的诅咒里
NSGG,男,吉林,想起还愿了
