昵称,性别,地区,评论
猪猪侠无意识,女,广东,学习学习
yummyH,男,江西,强迫症患者看了这个不规律的播放列表，气的手发抖
蟹老板和超级飞侠,保密,辽宁,@磨砂浮子
Yoggo,保密,新疆,第一次上大学 看这个需要准备一个多厚的笔记本
拿着高坚果的伽刚特尔,保密,湖北,所以这个和2.0哪个好
登登的保护伞,保密,陕西,看映射的时候发现Y1⊂Y2，即Y1<Y2，结果老师说Rg⊂Df，Rg>Df，我心想这是前后矛盾？还是特殊定义？结果看修正发现果然是口误。
陳小年年年年,保密,安徽,数据科学与大数据技术准大一可以看吗？准备从头看
下明a,保密,河南,[热词系列_大师球]
不会起名好烦呀,保密,贵州,快2亿的播放
_转念,保密,广西,张＃，当你看到这里的时候我已经看完了
淡末来,保密,安徽,就是任意取一个最小距离，总会存在一个N，使得N项后面的项，到a的距离总小于这个最小距离
Prince-_-H,男,中国香港,keep giong
某只河神,男,云南,慕名而来
Ryan_らいあん,男,湖南,高数上下都过了，感谢宋浩老师！[给心心][给心心][给心心]
路小雨在想什么,女,河南,老师老师，期末高数考了100耶[打call]，说实话，这学期你的高数课就听了一章，没想到考满分，上学期一直都跟着你的课，考了92[笑哭]
用户crushkunkun,男,河北,看了半天结果数学二不考[大哭]
Scmuitne,男,山东,考古队快来！！！[打call][打call][打call]
青瓜冰浆,保密,河北,蹲蹲有没有补考高数的搭子开学补考，太学不下去了………想找人报报进度讨论讨论题，补考的是高数下，刚开始学
沢と俊,保密,江苏,高数居然过了
momoDzoo,保密,浙江,收敛数列不能颇有多个极限，那什么数列能有多个极限？
2班司机,男,广西,学校没开高数课，想专升本的话可以买这本吗
流星划过梦影,保密,福建,老师老师，我毕业了，谢谢教会我高数！谢谢老师，下课，起立！老师再见！！！！
破壁人四号罗稽,保密,河北,签到
ahshlt,男,上海,为什么人这么多
皓姣玛,保密,陕西,老师 我毕业了 [奥比岛_委屈]
玄娯,保密,北京,真考古了，25年有[桃源_给花花]
星夏主典,保密,北京,救命啊，救命啊收敛数列那块我听了我好像听懂了也好像没有听懂。
门前枣树下,保密,湖北,"映射f：X､Y非空集合，X中每个元素x有唯一的y与之对应。
其中X为原像、Y为像
X的定义域为Df. 值域为Rf 
Rf包含于Y
满射：Rf = Y
单射..."
琳越狱啊,女,广东,了不起的宋浩老师
顶级新疆炒米粉爱好者,女,山东,高数一应该听哪里啊
以-梦为马不负韶华,保密,浙江,第一天打卡
Heyyoyo嘿哟哟,保密,广东,请问一下，高等数学1得看到哪？
我想找个新名字,保密,黑龙江,一个月后我觉得这就是我的常驻地了🤓
momoDzoo,保密,浙江,太难了
kkkklkkkl,保密,湖南,例题二有没有大佬说下为什么不是想我画问号的那样，算两种情况，然后再找存在的取值。我算出来的结果就没有取整也没有加1
枯荷跳珠,女,海南,我想问一下，高等数学d也是包含在课程里的吗？看哪一个？
工务部-Official,保密,黑龙江,2026考古的来踢我一脚[doge]
bili_95347398587,保密,重庆,zsr永别了
阿斗逍遥鸭,男,宁夏,[无悔华夏_点赞]
Heyyoyo嘿哟哟,保密,广东,想问一下高等数学1的内容是看到哪就好了的呀
阿杰有点困啊,保密,内蒙古,谢谢老师
言葉゙,保密,山东,"有一点不明白 希望大佬讲解一下 宋老师在第一期视频中讲 x1和x2可以对应一个y1 
单射是x1不等于x2，fx1不等于fx2
已知x属于X  x1和x2是X中的元素 那么集合X肯定不存在x1等于x2的情况的 所以没看懂单射概念 
求助！🙏"
kiikiiiiiiiii,保密,湖南,请问这个配套的教材是同济第八版吗
霜月十六夜KMnO4,男,北京,我是理论力学大王
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
霜月十六夜KMnO4,男,北京,理论力学可以看看我的视频，带你做题的，比较精短，应该会有帮助哦
数学爱好者高鹏宇,男,山西,这道余割的积分题可以这样做，正割同理[笑]@
和郭组,保密,安徽,在数学上，宋老师是我的恩师[呲牙]
你让我蠢蠢欲动,保密,内蒙古,老师您好 我想问18X方的系数是什么呀 如果按照书上的定义 系数是数字因数 那么18X方可以写成2×9X方 那么为什么不是9啊 或者为什么不是2啊 为什么一定是18呢 2不也是18X方的数字因数吗
EmilyGu_,保密,江苏,我想问一下大家，江苏专转本哪些不看？
star溪梦,男,贵州,《1.9亿播放量》
LoukeQin,保密,天津,一支笔，一部视频，一个夜晚，一场奇迹！
摆烂的熊猫001,保密,福建,已过，前来还愿
bili_44325656961,保密,广东,准大一预习
也行666666666,男,辽宁,同样
苍鹭lcx,保密,上海,细节314
bili_32646063094,保密,重庆,df和Y又是什么关系呢
三体魔征人,保密,安徽,打卡
舔餐兔逗,保密,山东,大学的必修课程都有什么呀
似是一念,女,宁夏,《   1   .   9   亿   播   放   量   》   [笑哭]   [笑哭]   [笑哭]
莹钰-,女,甘肃,那些留档是什么意思呀，是重新讲了一遍还是有新的知识点添加呀
余障尽潇,保密,北京,啥是非空集合
烟雨吟江南,保密,浙江,1.9亿？
又吃凉皮子,男,陕西,声音实在是太小了老师，我用笔记本开最大声别人以为我故意不给他听
拾肆だ,保密,湖北,挂科了来补习了[微笑]
别拿我不当干粮,保密,内蒙古,2019年的视频，166人正在看
维哥736,保密,广东,1.9亿⁉️
时雨斩II,男,广东,为啥映射三要素里面没有y，不是要看能不能包涵r吗，r也可以靠x和f推出，在函数里不是要素，为什么在映射里是？
两只枕溪梦,男,福建,宋老师的课是不是不讲题
liuzhihong0535,男,河北,老年人最近要学机器学习，回顾一下大学数学。。。。这个配套教材是哪套，高等数学，线性代数还有概率论
孤鹰岭战神祁同伟,男,河北,考研零基础的话，看这个课配什么题好?
昙华依仙,男,广西,期末高数九十分来还愿了[少女乐队的呐喊表情包_开车]
IcePacer1,保密,辽宁,今年开学就2亿了吧
不出a坑不改名,保密,广西,[doge_金箍]
趁年少pyb,女,河北,期末高数满分前来还愿，感谢宋老师[脱单doge]
佛罗里达不养我,男,江西,@海棠文身
自闭了的葱娘,保密,江西,想找高数交流群/搭子的可以来这里看看哦
敬业写脸上,保密,辽宁,已经100个小时了吗 我记得我之前看才60多吧
bas_mybli,女,山东,哎呀太明白了。突然觉得要是被山财录取好像也不错了……本来还觉得我要逃离这个山东省去外边看看来着
SepNight_玖葉硝击,保密,广西,怎么播放量还超过新宝岛了？[吃瓜][笑哭]
THTAlways,保密,河南,@Expecting_to
一名小小的萌新,男,江苏,多…多少播放量？1.9亿？
有野心的笨鸟,男,广东,这一题是不是高中知识？
我垚垚垚垚垚垚,保密,河南,@成都AG超玩会丶Cat
雾戊乄,男,四川,这个视频为什么播放量这么高？
komorebi-晴天,保密,澳大利亚,本以为出国就能逃避命运[大哭][脱单doge][doge_金箍]
无糖青柠糖,保密,河南,感谢宋老师 [OK]高数过了
羊肉粉Q,女,贵州,为什么不能用反函数求导直接对y'(t)/x'(t)整体求导取倒数
露露的思思,保密,青海,谁能告诉我，宋浩老师用的是哪本书啊？[大哭]
正切90度_,男,湖北,来还愿了[吃瓜]
as555666oi,保密,广东,宋浩老师，你去过德国吗？
Duck不必拉啦啦啦,保密,重庆,现在还有人看吗[doge_金箍]
bili_62776810825,男,辽宁,子数列和原数列排列不一样，还叫子数列吗
沐陌十一,保密,广东,"为什么有的时候可以打开字幕，有时候不可以打开字幕的
好小声，我的看字幕才比较清楚的知道讲的是什么"
後遂無問津者,男,山西,感谢宋老师保我高数一门不挂
我sndyou,男,河南,你们都在学习而且拿这个助眠[藏狐][藏狐][藏狐]
_I_X_玖_影_,保密,广东,@llwwllw-wll
根号3i的自然对数,保密,江苏,旋度rot呢？
爱因斯坦年的小孩,男,浙江,"27:27 讲解定义式的做题

19:34 定积分的几何意义
（非重点）   分三种类别 

对于A与B的求值，是对xy的偏导值。

幂级数的函数展开式
..."
麻薯麻薯我喜欢你,女,新疆,睡不着来催眠
bili_73532970033,保密,天津,27考研，先来试试水
灵么嚒嚒,保密,河北,请问大一上的高数看到哪呀？
也行666666666,男,辽宁,不错
海ka,保密,湖南,请问大家如果是要学高等数学b，然后是从哪一课学到哪一课？因为现在是高考完的学生，然后现在在提前准备转专业，只知道学这个名字，但不知道具体章节是哪些[蹲蹲]
不会飞的凡鸽,男,河南,准大一木有课本可以看吗[脱单doge]
晕船的生鱼片,男,山东,研三毕业了，失眠睡不着，听会高等数学
逸云cloudy,保密,江苏,唯一真神
Fy_风源,男,陕西,干两亿了我靠，NB
毕格斯特派尼斯,保密,山东,宋浩牛逼
以-梦为马不负韶华,保密,浙江,第一天打卡
bili_47287959588,保密,内蒙古,齐次方程这个对称是不是X跟Y的次方和等于就可以了呀
自闭了的葱娘,保密,江西,蹲个学习搭子，每日互相督促，不懂的都可以互相讨论
十亿在逃,保密,广东,宋老师在1.2数列的极限意义，14:04左右，提到的insoning Δ和insonong in（读音是这个），是什么insonong是我根据读音拼出来的并不是实际单词
混沌星空66,男,山西,两个fog有什么区别吗
70677429xlx,保密,重庆,26考研这个课程适用吗
思念与你成疾,男,广东,⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝妙啊
御风少年乄,保密,广东,当初还是千来万，如今翻了快20倍[笑哭]
大尉d,保密,浙江,看完第一集想鼠了[大哭]
根号2i的自然对数,男,河北,很快到2亿[打call][打call][打call]
数国精品微积分,保密,河北,通量与散度在哪学？
根号2i的自然对数,男,河北,建议出一个数学分析2.0
用户358017,保密,广东,来看一下嘛。
阿鱼萘苯菲,保密,浙江,准大一开学参加数学竞赛现在疯狂学习数学[大哭]有没有志同道合的数学朋友和我成为学习搭子[给心心][嘟嘟]
1HClO4,保密,江苏,3：20
as555666oi,保密,广东,"宋浩老师请问6^x=x^18怎么解？我解出来的答案是1=1296,1296为？"
广式粉肠,保密,上海,但我大学毕业后用不上了
聆笙吹月,保密,广东,我想问一下，函数不是数集吗，为什么说是实数集
吃螺丝滴喵酱,保密,浙江,初看才破亿，今年过完应该就2亿了
sjsixnwish,保密,湖南,考研数学看不懂的，来这学了
柬崎鸣,男,河南,打卡
魔鬼阴雨,男,河南,准大一生在线开卷
克_里_斯_王,男,浙江,永远有人系列
ikun6888,男,安徽,27考研开始看宋老师课打基础了[笑哭][打call]
Lostintransla,男,湖北,1.9亿wc
我老师说你有饼,男,河南,留下足迹
2555883245522252,保密,广西,这个惊人的播放量
什么都取不了-,保密,河南,1.9 亿？？？？
磨叽磨叽小大王,保密,河南,竟然是我的收藏，看来我上学几乎没听老师讲过课
冷冷就是,保密,河南,期末80，过来还愿
莫然sht,男,山东,大一时候看的，现在转眼马上大四了
者观,保密,广东,一个小时那里没太搞懂，xn＝1/n是老师随便举得一个例子吗？如果是xn＝n还会有数列极限存在但函数极限不存在的情况吗？
至-圣-先-师,保密,山东,感谢牢宋，高数上下和线代都满绩了，大二要转战概率论了
小黄瓜add,男,黑龙江,1.9亿？[大哭]
simaqingtian,保密,广西,现在的大学生这么热爱高数吗[doge_金箍]
仙屋居士,保密,浙江,第一节课就没听懂啊，映射到底是个啥呀？[热][热][热][热]
゚东风谷早苗,男,湖南,挂科人集合
小方糖TOT,保密,黑龙江,兄弟们问一下，用的是同济哪一版的啊？
緒山まひろ_Official,男,浙江,我数学老师要是是他教的，也不至于考不上本科
晴梵_,女,重庆,@依医伊枳猫
南方的孤狼哥,女,江西,大一开学学这个吗[微笑]
百无聊赖的捡叶绩,保密,海南,前来考古！2025
念初学习版,保密,河北,有2025年的吗
奶盖冰沙,保密,安徽,我是准大一生，看这个网课，可以买那种资料，
Shadow99STUDIO,保密,江苏,每一年因为种种需求，自学，期末，考研，补考，重修等等，宋浩带过的兵越来越多了，转眼快到两亿不禁感慨...
拉法发,保密,北京,99年学的四版，一看，还是我们学校应用数学系出的书。
諸事順順順順利,保密,山东,1.9亿。。。NB
贞德食泥鸭嘿嘿鸭,男,黑龙江,[热词系列_三连]
携望舒,保密,甘肃,谢谢宋浩老师！讲的是真的很棒！自学了大概半个多月跟着视频，90满绩过啦～[打call][打call][打call][打call][打call]
大超漫游人间,男,河南,课程最大的毛病是，没有给出知识体系
大超漫游人间,男,河南,感觉大学就是发个证，因为课程网上都有
最后的Frisk,男,湖北,🇺🇸wifi不太好，也挺宋浩老师yuuuuuu
最后的Frisk,男,湖北,🇺🇸wifi不太好，也挺宋浩老师
最后的Frisk,男,湖北,🇺🇸wifi不太好，也挺宋浩老师
六x月_,保密,陕西,[脱单doge][脱单doge][脱单doge]
宣亻子,保密,山东,"评论增加热度
1.上官正义揭发长沙代孕事件
2.黄杨钿甜全套首饰2000万事件
3.罗帅宇医生阻止器官交易死亡事件
4.上官正义揭发黑砖厂事件
5.景德镇车祸事件
6.黄梓澈事件
这些事情都挺恶劣的，而且好像真的形成了信息茧房，感觉大部分人都不清楚这些事。
不一定非要了解完所有事件，因为了解太多可能会对自己的心态造成一些影响，但只是帮忙传播一下也好，这些事件都很需要大家的关注。"
荟星,保密,安徽,请问有没有什么教辅推荐呀
bili_49182164285,保密,江苏,准高一报道[doge_金箍]
是朝阳还是月光,保密,黑龙江,老师你现在b站叫宋浩老师官方哈哈哈哈哈
风熏意暖,男,湖北,各位我想请问下准大一是看这个好还是看2.0版本的更好啊[疑惑]
Louis100zz,男,江苏,qinba
水蜜桃大侠冲冲,保密,广东,高中生越学越上道啦!
花时黎黎,女,四川,宋老师也太强悍了，大学经济的数学他讲，专升本的数学他讲，数学专业的分析数学他讲，高中数学他讲，初中数学他也讲。妈耶，等全国数学腾飞的时候，一定有他的桃李满天下。[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]
XxXxXx0xXxXxX,男,安徽,逆天播放量
小谷砸雨桐,保密,山东,第几版本的
juju珠珠,保密,山东,高数二98前来还原
最好吃的汤圆,男,广西,《最 高 播 放 量 视 频》
bili_56205223411,男,江西,到现在人流量还有188
水蜜桃大侠冲冲,保密,广东,准大一新生感觉好难，越听越蒙了
看着好气,保密,江西,8-9例6是不是数量积和向量积搞混了，点乘不等于零，两者叉乘才等于零
二爷红色恋人,保密,广东,好家伙，1.9亿次播放量[doge_金箍]
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
霜月十六夜KMnO4,男,北京,理论力学可以看看我的视频，带你做题的，比较精短，应该会有帮助哦
霜月十六夜KMnO4,男,北京,我是理论力学大王
江安河好,保密,山东,感谢宋老师前来还愿
蝉鸣时临,男,江西,准大一新生，希望4年后上岸工程师！[doge_金箍]
名字太男娶,保密,广西,华罗庚：我不到啊，谁给我干了那么多的战绩
fearless250,男,重庆,问一下大佬们，高中生可以提前学吗？对于高中的数学有帮助吗？
头像是我啦,男,福建,[tv_思考][tv_点赞]给我学懵了！
是MITONG,女,黑龙江,便宜出750题上，完全全新！
是江尘啊,保密,江西,等着老师两亿发视频庆祝
again--example,保密,广东,高数上下已过，老师再也不见了
也曾见过佳人笑,男,浙江,数二是不是看完p120就结束了呀
bili_53187364356,保密,北京,请问老师为什么arcsin(sinx)=x@宋浩老师官方
R_ange,男,福建,准大一打卡[doge_金箍]
眼泪落了,保密,安徽,啊啊啊，终于考完啦
王好名字子,保密,宁夏,大家！想问一下，宋浩老师更新的视频中，有哪些教授的是第八版啊，想买书但是不知道要不要买第八版，害怕没有对应讲解[捂脸]
CanHEARTdy,男,广东,暑假结束了，我妈要我开始学高数和四级了[热]
浅眠易醒_,男,安徽,听到老师讲arc，就感觉在看假面骑士亚克01
花时黎黎,女,四川,擦键盘发现了几个快捷键。QWE分别是点赞，投币，收藏。D是关闭弹幕。好玩。
诡异的花姑娘,保密,河南,7.1打卡
答案說銘所有,保密,江西,高等数学就是微积分嘛，它是线性代数和概率论的基础嘛
_nncv,保密,山东,专升本工科数学一是不是都要看啊
烤猪吃苹果,男,江西,梦开始的地方 打卡第一天
SkyLi_zh,男,河南,全站播放第一恭喜🎉个人视频到1.9亿也是前无古人后无来者了[打call]
第十卦限,男,广东,2亿预告
冰糖芋头圆,女,浙江,三天速成85过了高数下，谢谢宋浩老师
佛系尊者,男,江苏,@Y__hui别卷了
小蚂蚁20220810,保密,中国香港,是不是少了一节 渐近线的视频？@宋浩老师官方
bili_79971046026,保密,贵州,所以常系数非齐次线性微分方程的第二种情况在哪里？[委屈][委屈]回家搞忘了？[喜极而泣][喜极而泣]
花时黎黎,女,四川,她（学生菁英？）儿子已经很高了，两岁多。[doge_金箍]
花时黎黎,女,四川,宋老师从窗户蹦进教室上课，梦回老绿皮火车和情深深雨蒙蒙。
信念小可耐,女,重庆,留档的需要看吗？
bili_99808598202,保密,广东,请问一下这个课程对应的是第几个版本的？
久遐Ly,保密,湖南,有学长可以告诉我高考完暑假可以自学这个吗
凛小姐的servant,保密,山东,这个式子为什么不求导各位佬，弹幕说是因为不是参数方程的原因，但把根号下x带进去不就是参数方程吗，为什么不求导呢
章叁不是张三,保密,福建,和函数的在哪个视频呀
ZephyrXIC,保密,贵州,高考志愿填完了，是时候开始学习高数了（⌒▽⌒）
根号2i的自然对数,男,河北,偏微分方程在哪学？
性感蕾丝大蟑螂,女,山东,终于学完了[热词系列_谢谢老师]
生锈的机械师,保密,湖北,考古[微笑]
Neflbata-,保密,陕西,过了来还愿[doge_金箍]
bili_53187364356,保密,北京,为啥艾普西东取二分之a
利物浦的保护神,男,河南,宋浩老师，我爱你
ぁ明明就,男,湖北,来还愿了
希露菲叶特Xilufei,保密,河北,现在已经成了镇站之宝了
宝鯔,保密,浙江,1.9亿播放！
糖tru排骨,保密,广东,真希望宋老师每次讲题的时候把要求的东西写出来，不然我听着听着就忘记了是要干嘛了[笑哭]
杜的灯泡,保密,浙江,暑假人就是少，只有12个人
斩叶秋风,保密,江西,出来吧，那70个人
bili_63482559274,保密,江苏,@阿散的修勾n
不要咬我的吸管,保密,江苏,在哪里买他的课？
yyszone,男,北京,镇站之宝
浮雷锎蕗,保密,云南,昆明冶金职业技术大学
纳诺纳,保密,加拿大,现在大四了，为研究生做复习，再看一遍！
为爱发电个der,保密,河南,睡不着，尝试下能不能助眠[笑哭]
红色星火,保密,山东,坚持自学[重返未来1999_喂]
不是白幽灵,保密,江苏,挑战全网最稳定增粉的up
blank_for,保密,河南,太有老师的感觉了，听着老瞌睡[少女乐队的呐喊表情包_沉默]
Fy_风源,男,陕西,我嘞个1.9亿播放啊
